thg_log10,mehg_log10,group
0.748188027,0.079181246,Dry_weight
1.682866796,1.149219113,Dry_weight
1.354108439,0.447158031,Dry_weight
1.217483944,0.544068044,Dry_weight
1.103803721,0.716003344,Dry_weight
1.079181246,0.69019608,Dry_weight
1.079181246,0.662757832,Dry_weight
1.255272505,1,Dry_weight
0.591064607,0.176091259,Dry_weight
0.505149978,0.079181246,Dry_weight
0.322219295,-0.431798276,Dry_weight
1.176091259,0.698970004,Dry_weight
1.230448921,0.86923172,Dry_weight
1.643452676,1.462397998,Dry_weight
1.113943352,0.73239376,Dry_weight
1.113943352,0.77815125,Dry_weight
0.591064607,-0.031517051,Dry_weight
1.707570176,1.342422681,Dry_weight
1.255272505,0.929418926,Dry_weight
1.799340549,1.612783857,Dry_weight
1.041392685,0.826074803,Dry_weight
1.414973348,1.113943352,Dry_weight
0.819543936,0.397940009,Dry_weight
1.662757832,1.230448921,Dry_weight
1.72427587,1.361727836,Dry_weight
1.653212514,1.414973348,Dry_weight
1.431363764,0.924279286,Dry_weight
1.342422681,0.785329835,Dry_weight
0.755874856,0.230448921,Dry_weight
1.041392685,0.477121255,Dry_weight
1.255272505,0.875061263,Dry_weight
1.204119983,0.806179974,Dry_weight
0.924279286,0.477121255,Dry_weight
1.041392685,0.505149978,Dry_weight
0.431363764,-0.251811973,Dry_weight
1.666705136,1.215901813,Dry_weight
1.717836867,1.36567514,Dry_weight
1.662190991,1.408748606,Dry_weight
1.43264866,0.914871818,Dry_weight
1.356408327,0.763427994,Dry_weight
0.763427994,0.161368002,Dry_weight
1.666705136,1.215901813,Dry_weight
1.717836867,1.36567514,Dry_weight
1.662190991,1.408748606,Dry_weight
1.43264866,0.914871818,Dry_weight
1.356408327,0.763427994,Dry_weight
0.763427994,0.161368002,Dry_weight
1.666705136,1.215901813,Dry_weight
1.717836867,1.36567514,Dry_weight
1.662190991,1.408748606,Dry_weight
1.43264866,0.914871818,Dry_weight
1.356408327,0.763427994,Dry_weight
0.763427994,0.161368002,Dry_weight
2.710963119,2.252853031,Dry_weight
2.103803721,1.380211242,Dry_weight
2.380211242,2.004321374,Dry_weight
2,1.744449457,Dry_weight
1.775974331,1.42553422,Dry_weight
1.887842265,1.592620821,Dry_weight
1.919914481,1.62076049,Dry_weight
1.953518081,1.63447727,Dry_weight
1.71130096,1.499412126,Dry_weight
1.765594055,1.472024698,Dry_weight
1.776919003,1.48784512,Dry_weight
1.785329835,1.632153484,Dry_weight
1.87777435,1.536179532,Dry_weight
1.970439863,1.691258358,Dry_weight
1.628184508,1.32407658,Dry_weight
