province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Heilongjiang,5428.826248,6503.714065,7203.276677,7733.095616,7924.751754,7598.945007,7716.405225,7990.892348,8319.037034,8753.211189,8829.300804,9608.668135,10292.0871,11320.81151,13217.46456,15157.9533,15838.64322,16532.70062,17267.77687,17992.13497,18759.78077,19437.44183,20130.67235,20841.53159,21570.38242,22318.19075,23030.62369,23734.98026,24489.00229,25265.62778,26065.44302,26833.32964,27595.73487,28413.69529,29258.96072,30102.09985,30881.75955,31626.99733,32686.83637,33463.3524,34271.89921,35119.41396,35999.59452,36916.72725,37869.8192,38860.62897,39529.00543,40585.08482,41678.85401,42808.56947,43584.81308,44781.13222,46004.75505,46865.10739,48177.071,49528.03592,50486.03815,51459.60327,52896.4908,53923.46688,55437.63283,56526.27424,57633.67186,58763.85926,60415.36165,61585.73412,62761.12223,64471.48884,65659.42575,66865.09575,68655.57361,69909.44091,71164.94032,72446.12992,73722.70726,74994.50757,76272.50992,78209.46861,79555.41073,80924.90189,82338.48252,83778.23207,85175.05933,86549.61312,87917.84385,89281.90347,90647.3659,92012.22431,94139.36878,95530.94675,96926.40886
Henan,6040.629251,6937.830875,7599.381699,8237.116609,8924.72943,9497.854466,10243.68957,11268.92945,12477.08621,13368.48022,13361.11541,14236.95397,14912.2829,9813.165129,10137.22077,10557.77104,10979.18474,11307.74462,11733.24742,12161.45036,12592.86961,12933.24101,13275.76023,13620.92196,13968.12498,14317.53405,14576.9164,14930.60517,15194.75378,15552.8694,15820.71771,16183.37664,16455.26841,16729.05547,17004.44949,17280.64396,17558.36518,17745.5508,18026.35276,18219.61409,18507.15795,18710.02024,18823.96451,19034.39125,19248.46533,19466.17753,19594.89932,19819.97526,19955.4315,20093.77944,20327.78069,20470.40964,20614.656,20762.39613,20912.9882,21064.97092,21218.34904,21373.60079,21531.25439,21691.76577,21854.12768,21922.54691,22088.24346,22158.3595,22326.23779,22397.11051,22567.28583,22739.26431,22814.79183,22992.40252,23072.69571,23154.55224,23337.36779,23421.70645,23505.94309,23691.29034,23776.98722,23865.93975,23958.36258,24157.21466,24255.34591,24356.53431,24456.57083,24554.8388,24757.63975,24854.19277,24949.44513,25044.60938,25142.69438,25251.75951,25354.88486
Hubei,7110.694665,8719.272456,9822.233198,10949.31829,12092.83402,12880.25522,14061.07279,15578.38928,17411.09633,18782.80101,17690.7631,20539.41458,21921.71823,11366.10844,11310.59792,11264.55962,11742.94595,12228.76976,12722.00525,13222.46293,13713.824,14145.72032,14598.57646,15039.89826,15485.18819,15933.85873,16336.42381,16790.93827,17165.80991,17542.85795,17922.30293,18305.62441,18692.5986,19083.90046,19480.86354,19883.64328,20293.74142,20542.19267,20968.41303,21403.69178,21676.72048,21963.37947,22433.8794,22742.37693,23060.66456,23389.12247,23725.16865,24069.27828,24420.50238,24775.84058,24949.00039,25304.85843,25663.64894,25841.31794,26208.13517,26573.52873,26745.41025,27105.47913,27270.45333,27629.96234,27793.39471,28152.58116,28313.45369,28472.48767,28828.88481,28983.24424,29135.30777,29488.89162,29637.82072,29786.14452,30139.77133,30284.48498,30425.50908,30563.01768,30694.91479,30821.76938,31154.8862,31273.2861,31389.40191,31501.86626,31613.99986,31941.48596,32048.18453,32152.23894,32256.77228,32359.2931,32458.99261,32554.43046,32649.03529,32745.47752,32844.83885
Hunan,5936.004213,7207.546721,8038.73745,8861.515717,9672.77004,10577.53504,11354.85782,12373.66676,13195.5377,14416.75414,14912.98111,16414.46343,17345.66584,9678.91222,9708.984702,9757.766823,10148.2286,10541.50073,10951.59535,11350.16275,11765.34203,12111.90084,12445.68415,12795.35441,13146.20721,13498.09229,13809.06405,14163.84988,14451.12495,14740.43608,15031.77056,15326.59928,15624.33095,15926.04497,16232.22321,16542.87085,16858.6489,17038.62361,17366.73568,17701.53656,17899.82448,18108.5767,18323.57656,18691.24565,18921.0223,19156.7724,19397.3462,19494.67441,19742.66754,19993.19784,20244.07031,20495.1267,20594.39544,20847.96019,21103.94265,21359.69946,21459.91956,21712.53427,21808.05642,22060.11704,22154.81815,22249.1091,22500.14407,22592.94127,22685.65066,22939.56837,23033.45477,23126.81118,23381.93707,23476.17072,23571.14039,23665.76874,23924.96945,24020.50709,24113.81802,24204.97023,24294.87396,24384.58356,24643.56668,24734.83159,24828.17711,24923.39258,25015.89195,25106.09604,25196.42555,25461.4229,25556.33445,25653.07314,25752.14843,25854.53867,25959.72851
Inner_Mongolia,8297.481803,9513.433631,10439.68361,11283.20439,12000.12968,12671.38488,13453.88115,14424.07938,15541.69541,16500.25085,16465.2607,20124.90656,21956.54716,13595.93324,14552.86876,15516.59743,16149.31818,16828.78585,17480.24525,18179.35907,18851.70737,19458.03026,20073.63647,20699.22673,21334.25499,21979.15472,22557.43519,23145.41392,23743.97197,24352.82845,24972.40627,25564.55651,26167.82194,26783.90106,27414.044,28059.03492,28598.86525,29194.41152,29765.80047,30396.12586,31003.92067,31505.26148,32067.10924,32606.59554,33165.32579,33788.16195,34342.42157,34912.60131,35497.07158,36139.00627,36748.26152,37323.86588,37953.08951,38548.67494,39201.75498,39811.63218,40373.46183,40933.36535,41490.94094,42050.49662,42558.28167,43068.21217,43575.57186,44080.53629,44581.48344,45078.15013,45567.82565,46050.02165,46522.77831,46993.34601,47462.24351,47873.3528,48282.39578,48690.67777,49091.4279,49488.13535,49878.99735,50268.56867,50716.15116,51102.25809,51489.05946,51815.88501,52191.99496,52566.55766,52881.33942,53255.91362,53630.56557,53942.46022,54316.8267,54629.80419,55005.22111
Jiangsu,13221.30128,15339.17564,16830.70033,18469.85781,19966.76716,21939.06341,23651.19895,26082.4967,28262.22533,29718.43039,30943.47816,35181.65924,36806.30629,22214.70505,23054.60027,23910.70766,25022.3519,26030.2447,27174.36819,28214.33806,29391.04015,30339.32312,31421.59441,32394.96132,33379.95728,34376.42792,35384.69023,36280.20409,37186.6595,38104.10566,39159.01643,39975.86571,40933.02222,41778.73941,42641.99035,43654.13808,44430.64525,45231.03746,46189.2251,47045.2084,48066.02028,48852.7543,49807.62314,50663.46824,51692.19229,52618.95569,53437.57505,54423.87922,55292.73906,56325.94342,57228.41857,58142.23312,59064.36101,59996.01414,60933.91493,61871.74304,62810.51262,63592.50983,64532.24767,65318.06,66271.36044,66906.66817,67711.8421,68525.06762,69350.23549,70190.39889,71045.33432,71918.30749,72809.40506,73717.48408,74639.47742,75386.00261,76315.96309,77058.53847,77965.64576,78663.7461,79337.24927,80178.358,80806.72497,81409.73844,82190.67583,82760.61673,83304.00669,84029.22908,84547.48,85061.70226,85577.70869,86098.8798,86630.59638,87177.07082,87948.58834
Jiangxi,5272.865518,6501.056657,7163.070262,7921.913127,8624.09707,9162.60534,9952.374756,10838.19935,12094.77688,13039.65251,13533.55679,15548.28789,16636.75844,8583.093286,8603.57363,8607.394543,8939.671097,9272.854347,9627.14103,9962.16691,10298.3707,10574.5815,10851.34367,11129.20749,11388.25836,11668.80883,11931.38394,12195.94735,12463.20852,12732.88431,12985.53633,13221.98469,13461.4739,13704.46639,13951.39023,14202.03506,14417.55835,14637.63811,14862.50263,15092.59577,15307.66148,15491.739,15660.89689,15855.36386,16034.82594,16239.52212,16407.59356,16579.68964,16775.92797,16954.31031,17155.42543,17316.28787,17478.0973,17642.15376,17829.09168,17995.76104,18141.75558,18309.51765,18456.36564,18604.28489,18774.37732,18902.15208,19030.02492,19159.02929,19289.8902,19444.64968,19579.13006,19692.78271,19830.04546,19969.24917,20109.0553,20225.90783,20366.06789,20483.78781,20601.38888,20719.24203,20836.9598,20955.09661,21050.01789,21168.47264,21288.21294,21384.94918,21503.38124,21596.02239,21687.80937,21803.77118,21896.37266,22013.77979,22107.19681,22225.92131,22344.47042
Jilin,5864.608056,7062.500655,7884.764136,8551.373427,9035.999131,9052.004814,9394.633231,9847.125886,10122.64518,10545.60144,11008.88467,11838.50981,11779.60066,10972.68657,12296.71918,13635.06046,14263.60699,14904.3239,15558.26762,16189.275,16871.81274,17494.99057,18132.32755,18785.4207,19416.51215,20102.36353,20729.2792,21373.58242,22037.27843,22721.12472,23425.55634,24113.16746,24782.08329,25515.43241,26232.46786,27016.84678,27743.35348,28496.54447,29233.93186,30045.10963,30888.68001,31631.8116,32404.81855,33162.93877,33999.48533,34870.6842,35725.28414,36610.35071,37475.1643,38422.34484,39398.33014,40353.62884,41276.50541,42289.47748,43340.33309,44363.71388,45473.08801,46548.67883,47649.98755,48786.45291,49954.41092,51095.61999,52264.23825,53460.60867,54609.41461,55846.09563,57028.09816,58306.20403,59532.30598,60869.76843,62164.99699,63401.66148,64731.98201,66002.42143,67361.38192,68730.90221,70027.9303,71436.53253,72877.67749,74347.20615,75853.97497,77293.49413,78820.42501,80243.9903,81770.48549,83194.99807,84731.92524,86280.19211,87838.78134,89304.33269,90899.56396
Liaoning,7954.954294,9335.813776,10141.82077,10877.55648,11317.78876,11375.59136,11457.94888,12169.05266,13148.34013,13883.35579,13953.8989,15366.98586,16143.41795,13926.50764,15968.10263,18024.64402,18824.89589,19639.31677,20469.18015,21315.36436,22201.62166,23014.59629,23822.07348,24648.55196,25263.16687,26128.79668,27016.97455,27691.9046,28626.64938,29587.6186,30332.90877,31102.81877,32144.45818,32966.98768,33816.0567,34947.63785,35855.17758,36530.64212,37494.51511,38488.00205,39512.06283,40295.92339,41106.15554,42226.83971,43098.96885,43999.68992,44929.78004,45886.89946,46871.80591,47885.38302,48923.73699,49988.05507,51075.29559,52190.21965,53336.30515,54169.76292,55358.29133,56570.97565,57455.07234,58715.62576,59642.65323,60959.29537,61930.90193,63301.59699,64313.92884,65342.75681,66785.69183,67851.48358,68936.66718,70459.35684,71583.46807,72717.29377,73858.74067,75454.8903,76606.51454,77751.8007,78894.41383,80037.69444,81664.33451,82817.90554,83972.46671,85126.84752,86275.37873,87426.95028,88587.97234,89761.66799,90949.51237,92153.07363,93924.40898,95174.11046,96446.58083
Ningxia,6250.436626,7583.178454,8259.466805,8910.435005,9353.16257,9632.010735,10259.42792,11662.19695,12639.98076,13341.82882,13922.68389,15978.4294,17469.88714,9045.413597,9064.616926,9087.814058,9405.313193,9723.002792,10042.26262,10361.27755,10681.63761,10952.54838,11225.02435,11497.88192,11771.5873,12046.40179,12284.00274,12522.0749,12811.73495,13025.5333,13240.42883,13457.24297,13675.38029,13896.46094,14120.60233,14348.15882,14456.48259,14692.98695,14811.21989,15059.04194,15312.8861,15427.86087,15548.44166,15675.52696,15808.73798,15947.96168,16093.47486,16244.07277,16398.85799,16558.08258,16720.36733,16761.3034,16929.4918,16975.15767,17148.36551,17197.22204,17373.75085,17551.78986,17731.24736,17784.6949,17967.46861,18023.66172,18210.02905,18269.90954,18461.07683,18525.04625,18591.26156,18790.86685,18861.80732,18935.3638,19144.50391,19224.29182,19306.32637,19391.67246,19479.22824,19705.03332,19798.37607,19894.43055,19992.69508,20093.6809,20197.33493,20303.85205,20412.85204,20665.93572,20781.55145,20900.61315,21022.40297,21147.8564,21276.79109,21409.57096,21545.84343
