Collection_year,Region,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Trophic_level,log_weight,Wet_dry,Raw_cooked,log_mean_mehg,Precipitation_yearsum_mm,Ten_metre_wind_speed,Potential_evaporation_m,Surface_net_downward_shortwave_flux,log_hg_em_lag2,log_co2_em,log_ch4_em,Two_m_temperature_yearmax_runmean_K
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.464026135,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.678821593,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.617796667,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.464026135,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.824357523,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.678821593,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,1.119871364,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,1.199552271,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.362047729,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.362047729,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.230574696,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.362047729,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.678821593,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.617796667,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.547348561,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.678821593,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.230574696,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.045273864,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.045273864,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.230574696,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.230574696,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.362047729,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.230574696,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.230574696,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.045273864,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.045273864,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.678821593,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.617796667,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.547348561,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.362047729,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.678821593,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.678821593,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
