Collection_year,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,log_mean_mehg
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.440545748
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.422725124
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.852942421
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.261193742
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.242943579
2015,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.657386469
2014,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.0918779
2013,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.811099459
2013,Pond,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,1.312369322
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.102121246
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.352015197
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.573795453
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.732262688
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.78240338
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.6277128
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.567301445
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.570559984
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.775716592
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.044316969
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.313795246
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.516326136
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.727681115
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.731692497
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.420024921
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.548951941
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.546391665
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.786976039
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.036548939
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.287422078
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.457905251
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.703451353
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.638333141
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.555710039
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.475229817
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.436645228
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.720136683
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.102121246
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.357223322
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.548951941
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.69425571
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.718964867
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.560713827
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.64042791
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.479212484
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.704663577
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.171274711
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.369989742
