Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,MeHg_mean_ppb
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,43.90491309
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,37.75792998
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,43.0640206
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,71.32077807
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,76.64501262
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,20.93432106
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,27.26188091
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,47.13563995
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,47.83945769
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,42.36389907
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,34.35616425
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,63.30039991
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,58.81066762
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,30.3512702
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,50.37741811
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,65.3725052
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,29.18223877
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,72.03914725
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,36.85387577
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,47.06528677
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,20.66411137
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,41.45460141
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,61.58809547
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,41.17501583
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,41.45460141
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,47.76905262
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,57.81521467
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,50.37741811
