Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,MeHg_mean_ppb
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,21.88140802
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,40.82566657
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,64.3003124
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,11.9270053
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,17.97203007
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,34.84114377
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,49.46018194
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.89782793
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,40.68596839
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.04669766
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,36.50645444
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,54.90490592
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,8.989768541
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,14.0385162
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,23.71363328
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,45.65933015
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,47.20599835
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,36.02034083
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,17.90497259
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,31.86745243
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,50.23625043
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,11.00885796
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,22.83053731
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,9.638845406
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,38.03631829
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,54.12537771
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,36.22863557
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,30.97108202
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,26.1675161
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,41.38469621
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.0640206
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,33.11064596
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,61.01784952
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,20.19166795
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,77.00543691
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,46.78392638
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,54.55050625
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,11.66430649
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,21.81369027
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.227426516
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,13.50905567
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,24.25789451
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,20.19166795
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,14.43626608
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,24.9390741
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,24.78913434
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,29.58082784
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,72.16130552
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,157.6039997
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,107.9906228
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,17.83792758
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,110.1911848
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,115.3342656
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,150.142356
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,25.28001259
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,3.44
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,5.04
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,3.46988
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.62651
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,60.9157
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.1325
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,38.1687
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.522033071
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,5.34002271
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,9.314025908
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.929166149
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,11.99272522
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,7
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.03
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,78.15935649
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,60.23419409
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,59.52221934
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,91.19687311
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,42.57387558
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,52.42653444
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.8
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.4
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,26.2
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,27.33035219
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,25.28001259
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,90.46999877
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,107.9906228
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,27.33035219
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,25.28001259
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,78.15935649
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,92.6514839
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.923146096
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.35622325
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.825976759
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,19.8545437
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,11.20529403
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,5.403179464
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,11.20529403
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,9.249128898
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.535180154
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.700492404
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.535180154
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.535180154
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.535180154
