Collection_year,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,log_mean_mehg
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.778874472
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.021189299
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.658011397
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.758154622
2015,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.186761512
2015,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.442591012
2015,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.10118977
2015,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.1773178
2014,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.790496277
2014,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.566555331
2014,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.456517858
2014,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.456517858
2014,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,2.098436045
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.439897969
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.577807841
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.738488281
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.508025054
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.709480571
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.6277128
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.804336003
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.893782041
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.471212138
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.554029861
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.671400543
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.743519614
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.671400543
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.524479122
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.919837196
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.845275578
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.386070169
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.544676811
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.623394581
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.555710039
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.650760108
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.646655217
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.892178502
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.7874813
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.387284003
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.565663422
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.641124038
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.710676928
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.714247322
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.617572744
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.895379973
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.79648175
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.498621264
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.595824203
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.659529536
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.656176563
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.762042143
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.685502893
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.931038936
2011,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.883257032
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.428964239
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.477225489
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.720721466
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.642513122
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.577008177
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.634114575
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.853216072
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.8844839
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.32085888
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.435555816
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.673349408
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.679786248
