year,lon,lat,mehg_ppb
2085,100.5,34,126.4431095
2085,100.5,34.25,83.9460594
2085,100.5,34.5,84.26343632
2085,100.5,34.75,91.55143778
2085,100.5,35,89.65593118
2085,100.5,35.25,64.8264318
2085,100.5,35.5,77.13988274
2085,100.5,35.75,61.63532289
2085,100.5,36,65.34803366
2085,100.5,36.25,52.94502564
2085,100.5,36.5,90.79562895
2085,100.5,36.75,130.2379875
2085,100.5,37,88.41436042
2085,100.5,37.25,66.29917038
2085,100.5,37.5,85.86270401
2085,100.5,37.75,77.01363582
2085,100.5,38,62.79047939
2085,100.5,38.25,79.60684776
2085,100.5,38.5,55.18574005
2085,100.5,38.75,31.04113976
2085,100.5,39,11.51268227
2085,100.5,39.25,24.20261639
2085,100.5,39.5,20.09365766
2085,100.5,39.75,12.65887906
2085,100.5,40,13.654195
2085,100.5,40.25,8.173633893
2085,100.5,40.5,8.173633893
2085,100.5,40.75,8.173633893
2085,100.5,41,8.173633893
2085,100.5,41.25,8.173633893
2085,100.5,41.5,8.173633893
2085,100.5,41.75,8.173633893
2085,100.5,42,8.173633893
2085,100.5,42.25,6.634487614
2085,100.5,42.5,6.634487614
2085,100.75,21.75,27.25923298
2085,100.75,22,10.95759866
2085,100.75,22.25,33.61106155
2085,100.75,22.5,28.02212567
2085,100.75,22.75,33.70183097
2085,100.75,23,33.50909594
2085,100.75,23.25,34.48902501
2085,100.75,23.5,12.18740661
2085,100.75,23.75,12.91463471
2085,100.75,24,12.5981302
2085,100.75,24.25,28.39408633
2085,100.75,24.5,28.22646819
2085,100.75,24.75,31.71187938
2085,100.75,25,17.45422635
2085,100.75,25.25,8.320636223
2085,100.75,25.5,7.097004075
2085,100.75,25.75,8.074893536
2085,100.75,26,29.10670272
2085,100.75,26.25,28.31057642
2085,100.75,26.5,32.0784363
2085,100.75,26.75,27.76077846
2085,100.75,27,29.30154773
2085,100.75,27.25,29.30154773
2085,100.75,27.5,25.98718525
2085,100.75,27.75,23.76849616
2085,100.75,28,68.54272916
2085,100.75,28.25,70.8617224
2085,100.75,28.5,69.45585073
2085,100.75,28.75,78.78422343
2085,100.75,29,110.6083666
2085,100.75,29.25,96.19605043
2085,100.75,29.5,82.21905749
2085,100.75,29.75,93.35750618
2085,100.75,30,70.97241757
2085,100.75,30.25,74.45950601
2085,100.75,30.5,80.01831229
2085,100.75,30.75,84.86037385
2085,100.75,31,95.76365848
2085,100.75,31.25,105.0932706
2085,100.75,31.5,85.02844104
2085,100.75,31.75,109.873955
2085,100.75,32,82.21905749
2085,100.75,32.25,135.2059588
2085,100.75,32.5,83.82887559
2085,100.75,32.75,83.82887559
2085,100.75,33,86.17253023
2085,100.75,33.25,79.79029861
2085,100.75,33.5,128.2272552
2085,100.75,33.75,128.5101515
2085,100.75,34,126.5410036
2085,100.75,34.25,128.4948587
2085,100.75,34.5,95.04434105
2085,100.75,34.75,108.9959595
2085,100.75,35,89.76933184
2085,100.75,35.25,56.27131777
2085,100.75,35.5,74.62018474
2085,100.75,35.75,59.97671004
2085,100.75,36,19.92459898
2085,100.75,36.25,62.10267726
2085,100.75,36.5,84.07889284
2085,100.75,36.75,95.59573399
2085,100.75,37,85.34192041
2085,100.75,37.25,90.95922783
2085,100.75,37.5,76.47589476
2085,100.75,37.75,77.3237076
2085,100.75,38,76.2587616
2085,100.75,38.25,72.58102131
2085,100.75,38.5,31.59379026
2085,100.75,38.75,30.92536179
2085,100.75,39,28.78702291
2085,100.75,39.25,24.09882955
2085,100.75,39.5,24.50987564
2085,100.75,39.75,16.19707296
2085,100.75,40,14.20892143
2085,100.75,40.25,8.173633893
2085,100.75,40.5,8.173633893
2085,100.75,40.75,8.173633893
2085,100.75,41,8.173633893
2085,100.75,41.25,8.173633893
2085,100.75,41.5,8.173633893
2085,100.75,41.75,8.173633893
2085,100.75,42,7.854529391
2085,100.75,42.25,6.634487614
2085,100.75,42.5,6.634487614
2085,101,21.75,10.74387035
2085,101,22,10.98267656
2085,101,22.25,32.64686236
2085,101,22.5,11.9836733
2085,101,22.75,12.65022325
2085,101,23,12.37403734
2085,101,23.25,35.78203714
2085,101,23.5,32.76411364
2085,101,23.75,29.98469934
2085,101,24,34.66127977
2085,101,24.25,33.55532137
2085,101,24.5,26.73632731
2085,101,24.75,20.98019047
2085,101,25,7.681809455
2085,101,25.25,23.25773022
2085,101,25.5,23.88455354
2085,101,25.75,21.31032072
2085,101,26,28.78441613
2085,101,26.25,21.06382642
2085,101,26.5,30.50620185
2085,101,26.75,32.78893862
2085,101,27,21.81131739
2085,101,27.25,20.71645029
2085,101,27.5,29.11000373
2085,101,27.75,61.95663967
2085,101,28,63.05878717
2085,101,28.25,70.78030862
2085,101,28.5,84.66237077
2085,101,28.75,97.8600456
2085,101,29,90.9517915
2085,101,29.25,69.79431052
2085,101,29.5,74.38115611
2085,101,29.75,54.0461567
2085,101,30,51.78178032
2085,101,30.25,68.55466615
2085,101,30.5,80.44534254
2085,101,30.75,91.56853971
2085,101,31,85.95162907
2085,101,31.25,92.0769889
2085,101,31.5,96.08960463
2085,101,31.75,95.98886224
2085,101,32,91.59800067
2085,101,32.25,93.12242638
2085,101,32.5,112.1316878
2085,101,32.75,85.11702595
2085,101,33,135.2976102
2085,101,33.25,128.3617709
2085,101,33.5,126.5410036
2085,101,33.75,79.79979482
2085,101,34,79.79979482
2085,101,34.25,105.9670077
2085,101,34.5,94.74709835
2085,101,34.75,95.05295839
2085,101,35,95.04434105
2085,101,35.25,79.04239643
2085,101,35.5,60.68273273
2085,101,35.75,55.94361315
2085,101,36,55.18318086
2085,101,36.25,59.28770089
2085,101,36.5,77.22151584
2085,101,36.75,63.50041938
2085,101,37,65.71839589
2085,101,37.25,85.89803518
2085,101,37.5,125.0542864
2085,101,37.75,64.76334036
2085,101,38,65.69656536
2085,101,38.25,71.25276037
2085,101,38.5,31.49747197
2085,101,38.75,30.69331669
2085,101,39,28.49254306
2085,101,39.25,21.65078849
2085,101,39.5,24.56357365
2085,101,39.75,13.85460485
2085,101,40,8.173633893
2085,101,40.25,8.173633893
2085,101,40.5,8.173633893
2085,101,40.75,6.634487614
2085,101,41,8.173633893
2085,101,41.25,8.173633893
2085,101,41.5,8.173633893
2085,101,41.75,8.173633893
2085,101,42,6.639333028
2085,101,42.25,6.634487614
2085,101,42.5,6.634487614
2085,101.25,21.25,31.70732786
2085,101.25,21.5,24.90676944
2085,101.25,21.75,30.11467717
2085,101.25,22,37.24969697
2085,101.25,22.25,5.422354082
2085,101.25,22.5,29.71549716
2085,101.25,22.75,33.11024982
2085,101.25,23,32.99978447
2085,101.25,23.25,28.22824766
2085,101.25,23.5,32.63243973
2085,101.25,23.75,32.55835986
2085,101.25,24,11.81316133
2085,101.25,24.25,32.32878208
2085,101.25,24.5,28.93087574
2085,101.25,24.75,34.28898312
2085,101.25,25,26.67240335
2085,101.25,25.25,7.937543968
2085,101.25,25.5,7.449397997
2085,101.25,25.75,8.415086627
2085,101.25,26,31.39434448
2085,101.25,26.25,34.10802033
2085,101.25,26.5,29.93500395
2085,101.25,26.75,28.24675468
2085,101.25,27,17.53142121
2085,101.25,27.25,60.17009505
2085,101.25,27.5,51.77728479
2085,101.25,27.75,60.7761976
2085,101.25,28,61.39930433
2085,101.25,28.25,69.44525399
2085,101.25,28.5,68.53786382
2085,101.25,28.75,104.6516006
2085,101.25,29,97.20314798
